Time,	NewLatent,	NewInfectious,	NewInfectiousIdentified,	NewInfectiousUnderTreatmean,	NewInfectiousNotCured,	NewRecoveredLatent,	NewRelapse
55,	128.110001,	124.079994,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
56,	130.989990,	126.139999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
57,	132.779999,	127.410004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
58,	133.809998,	128.260010,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
59,	134.720001,	130.010010,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
60,	137.819992,	132.540009,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
61,	139.569992,	133.589996,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
62,	141.410004,	135.630005,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
63,	142.289993,	138.019989,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
64,	145.910004,	140.230011,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
65,	150.449997,	144.860001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
66,	150.139999,	144.260010,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
67,	151.110001,	145.119995,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
68,	154.369995,	148.020004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
69,	158.110001,	151.309998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
70,	159.770004,	152.809998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
71,	160.339996,	155.179993,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
72,	162.630005,	157.510010,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
73,	166.410004,	159.799988,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
74,	169.440002,	161.260010,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
75,	171.040009,	163.320007,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
76,	172.470001,	166.160004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
77,	174.179993,	167.470001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
78,	179.580002,	171.309998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
