Time,	LatentMB,	InfectiousMB,	InfectiousIdentifiedMB,	InfectiousUnderTreatmeanMB,	InfectiousNotCuredMB,	TotalInfectiousMB,	RecoveredLatentMB,	RelapseMB
247,	0.070000,	0.295000,	0.000000,	1.370000,	0.055000,	0.350000,	0.025000,	0.000000
248,	0.055000,	0.305000,	0.000000,	1.300000,	0.050000,	0.355000,	0.040000,	0.000000
249,	0.060000,	0.320000,	0.000000,	1.240000,	0.050000,	0.370000,	0.055000,	0.000000
250,	0.050000,	0.325000,	0.000000,	1.260000,	0.050000,	0.375000,	0.040000,	0.000000
251,	0.050000,	0.335000,	0.000000,	1.270000,	0.050000,	0.385000,	0.055000,	0.000000
252,	0.040000,	0.345000,	0.000000,	1.330000,	0.045000,	0.390000,	0.045000,	0.000000
253,	0.050000,	0.345000,	0.005000,	1.285000,	0.045000,	0.395000,	0.040000,	0.000000
254,	0.035000,	0.330000,	0.000000,	1.250000,	0.050000,	0.380000,	0.070000,	0.000000
255,	0.045000,	0.330000,	0.000000,	1.285000,	0.060000,	0.390000,	0.045000,	0.000000
256,	0.045000,	0.320000,	0.000000,	1.275000,	0.060000,	0.380000,	0.050000,	0.000000
257,	0.050000,	0.315000,	0.000000,	1.295000,	0.060000,	0.375000,	0.055000,	0.000000
258,	0.050000,	0.305000,	0.000000,	1.305000,	0.060000,	0.365000,	0.040000,	0.000000
259,	0.055000,	0.315000,	0.000000,	1.270000,	0.060000,	0.375000,	0.045000,	0.000000
260,	0.050000,	0.320000,	0.000000,	1.280000,	0.055000,	0.375000,	0.045000,	0.000000
261,	0.055000,	0.310000,	0.000000,	1.330000,	0.055000,	0.365000,	0.030000,	0.000000
262,	0.045000,	0.320000,	0.000000,	1.275000,	0.055000,	0.375000,	0.065000,	0.000000
263,	0.035000,	0.335000,	0.005000,	1.270000,	0.050000,	0.390000,	0.050000,	0.000000
264,	0.045000,	0.315000,	0.000000,	1.275000,	0.055000,	0.370000,	0.055000,	0.000000
265,	0.060000,	0.320000,	0.000000,	1.325000,	0.055000,	0.375000,	0.040000,	0.000000
266,	0.045000,	0.320000,	0.000000,	1.265000,	0.055000,	0.375000,	0.050000,	0.000000
267,	0.065000,	0.320000,	0.000000,	1.230000,	0.060000,	0.380000,	0.070000,	0.000000
268,	0.030000,	0.340000,	0.000000,	1.250000,	0.065000,	0.405000,	0.060000,	0.000000
269,	0.055000,	0.335000,	0.000000,	1.220000,	0.060000,	0.395000,	0.055000,	0.000000
270,	0.050000,	0.320000,	0.000000,	1.235000,	0.060000,	0.380000,	0.050000,	0.000000
271,	0.040000,	0.320000,	0.000000,	1.220000,	0.060000,	0.380000,	0.050000,	0.000000
272,	0.030000,	0.325000,	0.000000,	1.245000,	0.055000,	0.380000,	0.065000,	0.000000
273,	0.030000,	0.330000,	0.000000,	1.205000,	0.055000,	0.385000,	0.075000,	0.000000
274,	0.025000,	0.340000,	0.000000,	1.235000,	0.060000,	0.400000,	0.050000,	0.000000
275,	0.025000,	0.330000,	0.000000,	1.250000,	0.060000,	0.390000,	0.045000,	0.000000
276,	0.030000,	0.330000,	0.005000,	1.290000,	0.060000,	0.395000,	0.040000,	0.000000
277,	0.035000,	0.320000,	0.000000,	1.290000,	0.070000,	0.390000,	0.035000,	0.000000
278,	0.030000,	0.325000,	0.000000,	1.290000,	0.075000,	0.400000,	0.035000,	0.000000
279,	0.045000,	0.325000,	0.000000,	1.255000,	0.075000,	0.400000,	0.060000,	0.000000
280,	0.025000,	0.325000,	0.000000,	1.275000,	0.080000,	0.405000,	0.060000,	0.000000
281,	0.035000,	0.320000,	0.000000,	1.265000,	0.080000,	0.400000,	0.045000,	0.000000
282,	0.040000,	0.310000,	0.000000,	1.310000,	0.075000,	0.385000,	0.050000,	0.000000
283,	0.045000,	0.315000,	0.000000,	1.310000,	0.075000,	0.390000,	0.055000,	0.000000
284,	0.060000,	0.325000,	0.000000,	1.305000,	0.075000,	0.400000,	0.075000,	0.000000
285,	0.065000,	0.330000,	0.000000,	1.305000,	0.075000,	0.405000,	0.045000,	0.000000
286,	0.065000,	0.325000,	0.000000,	1.290000,	0.085000,	0.410000,	0.030000,	0.000000
287,	0.055000,	0.330000,	0.000000,	1.250000,	0.080000,	0.410000,	0.050000,	0.000000
288,	0.060000,	0.330000,	0.000000,	1.245000,	0.085000,	0.415000,	0.055000,	0.000000
289,	0.040000,	0.335000,	0.000000,	1.295000,	0.075000,	0.410000,	0.045000,	0.000000
290,	0.035000,	0.350000,	0.000000,	1.285000,	0.075000,	0.425000,	0.030000,	0.000000
291,	0.035000,	0.340000,	0.000000,	1.305000,	0.080000,	0.420000,	0.020000,	0.000000
292,	0.045000,	0.340000,	0.000000,	1.250000,	0.080000,	0.420000,	0.050000,	0.000000
293,	0.040000,	0.330000,	0.000000,	1.210000,	0.080000,	0.410000,	0.065000,	0.000000
294,	0.045000,	0.335000,	0.000000,	1.240000,	0.085000,	0.420000,	0.055000,	0.000000
295,	0.065000,	0.330000,	0.000000,	1.260000,	0.090000,	0.420000,	0.040000,	0.000000
296,	0.060000,	0.330000,	0.000000,	1.320000,	0.095000,	0.425000,	0.040000,	0.000000
297,	0.070000,	0.335000,	0.000000,	1.325000,	0.090000,	0.425000,	0.065000,	0.000000
298,	0.065000,	0.335000,	0.000000,	1.345000,	0.095000,	0.430000,	0.060000,	0.000000
299,	0.080000,	0.345000,	0.000000,	1.400000,	0.095000,	0.440000,	0.050000,	0.000000
300,	0.050000,	0.340000,	0.000000,	1.440000,	0.100000,	0.440000,	0.045000,	0.000000
