Time,	NewLatentPB,	NewInfectiousPB,	NewInfectiousIdentifiedPB,	NewInfectiousUnderTreatmeanPB,	NewInfectiousNotCuredPB,	NewRecoveredLatentPB,	NewRelapsePB
105,	77.654999,	83.684998,	79.379997,	80.389999,	0.000000,	0.000000,	0.000000
106,	66.500000,	72.220001,	68.489998,	67.595001,	0.000000,	0.000000,	0.000000
107,	57.020000,	61.055000,	57.855000,	58.430000,	0.000000,	0.000000,	0.000000
108,	48.715000,	52.230000,	49.750000,	49.314999,	0.000000,	0.000000,	0.000000
109,	40.244999,	43.165001,	41.105000,	41.779999,	0.000000,	0.000000,	0.000000
110,	35.035000,	37.730000,	35.705002,	34.575001,	0.000000,	0.000000,	0.000000
111,	29.445000,	31.900000,	30.270000,	30.750000,	0.000000,	0.000000,	0.000000
112,	25.559999,	26.809999,	25.465000,	25.615000,	0.000000,	0.000000,	0.000000
113,	22.205000,	23.740000,	29.889999,	48.485001,	1.340000,	55.410000,	0.000000
114,	20.145000,	21.195000,	44.959999,	105.290001,	1.835000,	66.364998,	0.000000
115,	18.184999,	18.870001,	52.965000,	129.119995,	1.610000,	60.310001,	0.000000
116,	17.309999,	17.520000,	56.884998,	136.455002,	1.435000,	52.889999,	0.000000
117,	15.215000,	15.455000,	54.465000,	132.639999,	1.245000,	43.514999,	0.000000
118,	13.515000,	14.130000,	50.849998,	121.074997,	1.050000,	36.915001,	0.000000
119,	12.345000,	12.710000,	47.040001,	111.269997,	0.915000,	32.290001,	0.000000
120,	11.385000,	11.655000,	42.160000,	98.455002,	0.735000,	27.065001,	0.000000
121,	9.530000,	9.880000,	36.865002,	85.779999,	0.555000,	22.969999,	0.000000
122,	8.825000,	9.220000,	31.875000,	74.279999,	0.470000,	19.084999,	0.000000
123,	7.730000,	7.970000,	27.980000,	64.264999,	0.440000,	16.690001,	0.000000
124,	6.595000,	6.930000,	24.205000,	55.875000,	0.350000,	13.760000,	0.000000
125,	5.840000,	6.090000,	21.004999,	49.474998,	0.400000,	14.095000,	0.000000
126,	5.275000,	5.390000,	20.445000,	55.150002,	0.535000,	21.600000,	0.000000
127,	5.155000,	5.185000,	22.020000,	64.644997,	0.785000,	25.165001,	0.000000
128,	4.555000,	4.610000,	22.875000,	68.790001,	0.695000,	27.740000,	0.000000
129,	4.530000,	4.525000,	24.575001,	71.410004,	0.690000,	27.250000,	0.000000
130,	4.645000,	4.650000,	25.264999,	69.934998,	0.675000,	25.160000,	0.000000
131,	4.275000,	4.270000,	24.610001,	67.894997,	0.610000,	23.315001,	0.000000
132,	4.010000,	3.975000,	23.625000,	62.610001,	0.635000,	20.995001,	0.000000
133,	3.740000,	3.765000,	21.895000,	57.535000,	0.465000,	18.440001,	0.000000
134,	3.410000,	3.455000,	20.350000,	52.750000,	0.440000,	16.475000,	0.000000
135,	3.205000,	3.250000,	18.219999,	47.105000,	0.320000,	13.725000,	0.000000
