Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
117,	58.180000,	444.619995,	76.589996,	503.309998,	4.180000,	525.390015,	67.400002,	0.000000
118,	55.489998,	429.479980,	77.770004,	483.299988,	4.800000,	512.050003,	68.979996,	0.000000
119,	54.660000,	414.690002,	76.900002,	468.510010,	5.250000,	496.839981,	66.860001,	0.000000
120,	53.090000,	401.950012,	73.529999,	458.859985,	5.720000,	481.199997,	62.939999,	0.000000
121,	52.639999,	387.869995,	70.970001,	448.549988,	6.010000,	464.850006,	58.590000,	0.000000
122,	50.330002,	373.720001,	68.250000,	442.380005,	6.030000,	448.000000,	54.720001,	0.000000
123,	48.430000,	360.529999,	66.369995,	435.000000,	5.860000,	432.759995,	52.279999,	0.000000
124,	47.180000,	347.649994,	63.459999,	428.880005,	5.550000,	416.659988,	49.110001,	0.000000
125,	46.820000,	333.890015,	61.270000,	421.769989,	5.240000,	400.399994,	45.400002,	0.000000
126,	43.410000,	321.640015,	57.370003,	415.220001,	5.000000,	384.009995,	42.150002,	0.000000
127,	41.540001,	308.429993,	55.559998,	409.049988,	4.920000,	368.909988,	39.550003,	0.000000
128,	40.209999,	296.529999,	54.550003,	399.489990,	4.690000,	355.769989,	38.669998,	0.000000
129,	39.150002,	285.969971,	52.400002,	388.549988,	4.730000,	343.099976,	38.020000,	0.000000
130,	38.040001,	275.220001,	51.880001,	376.270020,	4.820000,	331.919998,	38.880001,	0.000000
131,	36.790001,	266.739990,	50.750000,	363.230011,	4.690000,	322.179977,	39.799999,	0.000000
132,	35.540001,	259.299988,	49.970001,	349.479980,	4.570000,	313.839981,	39.369999,	0.000000
133,	34.279999,	251.720001,	48.690002,	338.520020,	4.610000,	305.020004,	39.190002,	0.000000
134,	34.599998,	244.709991,	46.590000,	327.839996,	4.690000,	295.990005,	38.750000,	0.000000
135,	33.419998,	239.230011,	46.320000,	317.390015,	4.680000,	290.230011,	36.690002,	0.000000
