Time,	NewLatentMB,	NewInfectiousMB,	NewInfectiousIdentifiedMB,	NewInfectiousUnderTreatmeanMB,	NewInfectiousNotCuredMB,	NewRecoveredLatentMB,	NewRelapseMB
126,	7.635000,	7.980000,	29.465000,	27.840000,	1.485000,	29.090000,	0.000000
127,	7.250000,	7.300000,	32.459999,	31.584999,	1.395000,	29.905001,	0.000000
128,	7.905000,	7.575000,	34.375000,	33.654999,	1.440000,	28.770000,	0.000000
129,	7.645000,	7.555000,	32.689999,	32.174999,	1.325000,	26.815001,	0.000000
130,	7.370000,	7.540000,	30.264999,	30.125000,	1.160000,	23.240000,	0.000000
131,	6.660000,	6.910000,	27.705000,	27.480000,	1.145000,	21.770000,	0.000000
132,	6.740000,	6.760000,	25.030001,	24.525000,	0.895000,	18.754999,	0.000000
133,	5.800000,	5.810000,	21.920000,	21.910000,	0.920000,	16.605000,	0.000000
134,	5.640000,	5.695000,	20.174999,	19.844999,	0.720000,	14.610000,	0.000000
135,	5.305000,	5.350000,	18.205000,	18.094999,	0.580000,	12.695000,	0.000000
136,	5.135000,	5.195000,	16.155001,	15.760000,	0.550000,	11.535000,	0.000000
137,	4.320000,	4.505000,	14.505000,	14.625000,	0.520000,	10.585000,	0.000000
138,	4.265000,	4.310000,	15.450000,	14.770000,	0.665000,	14.210000,	0.000000
139,	4.275000,	4.220000,	17.500000,	16.639999,	0.695000,	15.865000,	0.000000
140,	4.195000,	4.065000,	18.035000,	17.645000,	0.830000,	16.584999,	0.000000
141,	4.495000,	4.460000,	18.655001,	18.295000,	0.825000,	15.760000,	0.000000
142,	4.275000,	4.250000,	18.760000,	18.280001,	0.725000,	15.105000,	0.000000
143,	4.105000,	4.145000,	17.270000,	17.110001,	0.570000,	14.005000,	0.000000
144,	3.970000,	3.760000,	15.880000,	15.540000,	0.605000,	12.325000,	0.000000
145,	4.000000,	3.975000,	14.785000,	14.580000,	0.580000,	11.075000,	0.000000
146,	3.510000,	3.615000,	12.840000,	12.695000,	0.460000,	9.735000,	0.000000
147,	3.525000,	3.555000,	12.125000,	11.885000,	0.445000,	9.095000,	0.000000
148,	3.150000,	3.150000,	10.725000,	10.810000,	0.370000,	7.585000,	0.000000
149,	2.735000,	2.780000,	9.645000,	9.585000,	0.385000,	7.170000,	0.000000
150,	2.445000,	2.475000,	9.135000,	8.835000,	0.345000,	7.230000,	0.000000
151,	2.480000,	2.620000,	9.130000,	8.975000,	0.425000,	7.775000,	0.000000
152,	2.285000,	2.210000,	9.220000,	8.935000,	0.370000,	8.070000,	0.000000
153,	2.420000,	2.460000,	9.525000,	9.050000,	0.375000,	8.405000,	0.000000
154,	2.330000,	2.240000,	9.705000,	9.495000,	0.410000,	7.960000,	0.000000
155,	2.165000,	2.205000,	9.040000,	8.835000,	0.345000,	7.590000,	0.000000
156,	2.085000,	2.245000,	8.935000,	8.855000,	0.355000,	7.085000,	0.000000
157,	2.200000,	2.185000,	8.305000,	8.105000,	0.360000,	6.845000,	0.000000
158,	1.760000,	1.855000,	7.440000,	7.440000,	0.265000,	5.860000,	0.000000
