Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
164,	28.705000,	196.964996,	0.110000,	319.530029,	4.380000,	201.454990,	21.355000,	0.000000
165,	28.545000,	194.755005,	0.090000,	316.179993,	4.210000,	199.055004,	20.980000,	0.000000
166,	28.365000,	192.459991,	0.045000,	312.479980,	4.225000,	196.730000,	20.360001,	0.000000
167,	28.005001,	189.535004,	0.065000,	309.250000,	4.120000,	193.719982,	20.389999,	0.000000
168,	27.865002,	187.084991,	0.080000,	305.440002,	4.085000,	191.249989,	19.770000,	0.000000
169,	27.299999,	184.759995,	0.095000,	301.750000,	3.915000,	188.770002,	19.450001,	0.000000
170,	27.310001,	183.669998,	0.075000,	298.804993,	3.935000,	187.680002,	18.950001,	0.000000
171,	26.725000,	181.675003,	0.085000,	295.700012,	3.960000,	185.719992,	18.490000,	0.000000
172,	26.590000,	180.570007,	0.045000,	292.455017,	4.035000,	184.650009,	18.565001,	0.000000
173,	27.055000,	179.500000,	0.065000,	289.760010,	3.840000,	183.404991,	17.975000,	0.000000
174,	26.615000,	177.580002,	0.085000,	287.510010,	3.810000,	181.475012,	17.545000,	0.000000
175,	25.934999,	176.955002,	0.070000,	284.989990,	3.825000,	180.850000,	17.215000,	0.000000
176,	26.170000,	175.200012,	0.030000,	282.470001,	3.665000,	178.894997,	17.070000,	0.000000
