Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
177,	25.635000,	100.815002,	62.660000,	381.179993,	4.770000,	168.244999,	23.115000,	0.000000
178,	26.115002,	100.260002,	62.145000,	378.710022,	4.905000,	167.310003,	23.244999,	0.000000
179,	25.510000,	99.889999,	61.360001,	377.570007,	5.070000,	166.320004,	22.560001,	0.000000
180,	25.320000,	99.665001,	61.595001,	375.479980,	5.090000,	166.350002,	21.910000,	0.000000
181,	24.645000,	99.000000,	61.235001,	373.994995,	5.140000,	165.374992,	21.555000,	0.000000
182,	25.184999,	98.955002,	61.330002,	371.705017,	5.215000,	165.500000,	21.245001,	0.000000
183,	25.185001,	98.690002,	61.029999,	370.769989,	5.150000,	164.869987,	20.965000,	0.000000
184,	25.190001,	97.910004,	59.235001,	369.429993,	5.065000,	162.209997,	21.059999,	0.000000
185,	24.760000,	97.540001,	59.885002,	366.394989,	5.170000,	162.594999,	20.545000,	0.000000
186,	24.779999,	97.080002,	60.120003,	364.895020,	5.090000,	162.290005,	19.705000,	0.000000
187,	25.395000,	96.540001,	58.739998,	364.444977,	4.955000,	160.235003,	19.445000,	0.000000
188,	25.219999,	95.625000,	58.240002,	362.925018,	4.860000,	158.725003,	19.494999,	0.000000
189,	24.535000,	95.419998,	58.200001,	359.899994,	4.865000,	158.485005,	19.440001,	0.000000
190,	24.490002,	95.540001,	57.770000,	358.640015,	4.940000,	158.250010,	19.080000,	0.000000
191,	24.480000,	94.865005,	58.459999,	356.354980,	4.855000,	158.180003,	19.189999,	0.000000
192,	24.744999,	94.489998,	59.360001,	353.964996,	4.800000,	158.649993,	19.180000,	0.000000
193,	24.370001,	94.529999,	59.260002,	353.049988,	4.860000,	158.650000,	18.849998,	0.000000
194,	24.540001,	94.445000,	59.080002,	352.799988,	4.880000,	158.405011,	18.135000,	0.000000
195,	24.395000,	94.330002,	58.325001,	352.785004,	4.905000,	157.560013,	18.389999,	0.000000
196,	24.545000,	93.575005,	58.210003,	351.809998,	4.840000,	156.624996,	18.264999,	0.000000
197,	24.309999,	93.470001,	58.009998,	351.515015,	4.975000,	156.455001,	17.945000,	0.000000
198,	24.469999,	92.365005,	58.090000,	350.019989,	5.030000,	155.485005,	17.680000,	0.000000
199,	24.800001,	93.205002,	57.299999,	350.144989,	4.885000,	155.390002,	17.160000,	0.000000
200,	25.139999,	93.254997,	57.060001,	349.234985,	4.955000,	155.269994,	17.719999,	0.000000
